receipt_id,dc_id,item_id,receipt_date,received_qty,receipt_type,is_late,is_partial,po_number
REC_000018,DC_EAST,2840016014,2024-03-14,432.0,SUPPLIER_DELIVERY,False,False,PO_20240311_DC_EAST_0017
REC_000019,DC_WEST,2840016014,2024-03-22,204.0,SUPPLIER_DELIVERY,False,False,PO_20240318_DC_WEST_0018
REC_000020,DC_EAST,4900005010,2024-03-30,630.0,SUPPLIER_DELIVERY,False,False,PO_20240325_DC_EAST_0019
REC_000021,DC_EAST,2840016014,2024-04-04,924.0,SUPPLIER_DELIVERY,False,False,PO_20240401_DC_EAST_0021
REC_000022,DC_EAST,4900005010,2024-04-06,972.0,SUPPLIER_DELIVERY,True,False,PO_20240401_DC_EAST_0022
REC_000023,DC_WEST,1200080994,2024-04-06,644.0,SUPPLIER_DELIVERY,False,False,PO_20240401_DC_WEST_0023
REC_000024,DC_WEST,4900005010,2024-04-07,504.0,SUPPLIER_DELIVERY,False,False,PO_20240401_DC_WEST_0025
REC_000025,DC_EAST,1200080994,2024-04-08,1264.0,SUPPLIER_DELIVERY,False,False,PO_20240401_DC_EAST_0020
REC_000026,DC_WEST,2840016014,2024-04-08,408.0,SUPPLIER_DELIVERY,False,False,PO_20240401_DC_WEST_0024
REC_000027,DC_WEST,4900005010,2024-04-26,264.0,SUPPLIER_DELIVERY,False,True,PO_20240422_DC_WEST_0026
REC_000028,DC_WEST,4900005010,2024-04-29,126.0,SUPPLIER_DELIVERY,False,False,PO_20240422_DC_WEST_0026
REC_000029,DC_EAST,2840016014,2024-05-10,456.0,SUPPLIER_DELIVERY,False,False,PO_20240506_DC_EAST_0027
REC_000030,DC_WEST,2840016014,2024-05-13,252.0,SUPPLIER_DELIVERY,False,False,PO_20240506_DC_WEST_0028
REC_000031,DC_EAST,4900005010,2024-05-27,606.0,SUPPLIER_DELIVERY,False,False,PO_20240520_DC_EAST_0030
REC_000032,DC_WEST,1200080994,2024-05-27,268.0,SUPPLIER_DELIVERY,False,False,PO_20240520_DC_WEST_0031
REC_000033,DC_EAST,1200080994,2024-05-29,488.0,SUPPLIER_DELIVERY,True,False,PO_20240520_DC_EAST_0029
REC_000034,DC_WEST,2840016014,2024-06-02,288.0,SUPPLIER_DELIVERY,False,False,PO_20240527_DC_WEST_0033
REC_000035,DC_EAST,2840016014,2024-06-04,612.0,SUPPLIER_DELIVERY,True,False,PO_20240527_DC_EAST_0032
REC_000036,DC_EAST,1200080994,2024-06-06,1372.0,SUPPLIER_DELIVERY,False,False,PO_20240603_DC_EAST_0034
REC_000037,DC_EAST,4900005010,2024-06-06,1218.0,SUPPLIER_DELIVERY,False,False,PO_20240603_DC_EAST_0035
REC_000038,DC_WEST,4900005010,2024-06-06,600.0,SUPPLIER_DELIVERY,False,False,PO_20240603_DC_WEST_0038
REC_000039,DC_WEST,1200080994,2024-06-08,688.0,SUPPLIER_DELIVERY,False,False,PO_20240603_DC_WEST_0036
REC_000040,DC_WEST,2840016014,2024-06-09,384.0,SUPPLIER_DELIVERY,False,False,PO_20240603_DC_WEST_0037
REC_000041,DC_EAST,2840016014,2024-06-13,900.0,SUPPLIER_DELIVERY,False,False,PO_20240610_DC_EAST_0039
REC_000042,DC_WEST,1200080994,2024-07-11,740.0,SUPPLIER_DELIVERY,False,False,PO_20240708_DC_WEST_0043
REC_000043,DC_WEST,2840016014,2024-07-12,456.0,SUPPLIER_DELIVERY,False,False,PO_20240708_DC_WEST_0044
REC_000044,DC_WEST,4900005010,2024-07-12,594.0,SUPPLIER_DELIVERY,False,False,PO_20240708_DC_WEST_0045
REC_000045,DC_EAST,1200080994,2024-07-14,1444.0,SUPPLIER_DELIVERY,False,False,PO_20240708_DC_EAST_0040
REC_000046,DC_EAST,4900005010,2024-07-15,1074.0,SUPPLIER_DELIVERY,False,False,PO_20240708_DC_EAST_0042
REC_000047,DC_EAST,2840016014,2024-07-18,756.0,SUPPLIER_DELIVERY,True,False,PO_20240708_DC_EAST_0041
REC_000048,DC_EAST,2840016014,2024-08-22,972.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_EAST_0047
REC_000049,DC_WEST,1200080994,2024-08-22,648.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_WEST_0049
REC_000050,DC_EAST,4900005010,2024-08-23,1152.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_EAST_0048
REC_000051,DC_WEST,4900005010,2024-08-23,564.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_WEST_0051
REC_000052,DC_WEST,2840016014,2024-08-24,504.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_WEST_0050
REC_000053,DC_EAST,1200080994,2024-08-25,1296.0,SUPPLIER_DELIVERY,False,False,PO_20240819_DC_EAST_0046
REC_000054,DC_WEST,2840016014,2024-09-12,576.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_WEST_0056
REC_000055,DC_WEST,4900005010,2024-09-14,431.0,SUPPLIER_DELIVERY,False,True,PO_20240909_DC_WEST_0057
REC_000056,DC_EAST,1200080994,2024-09-15,1800.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_EAST_0052
REC_000057,DC_WEST,1200080994,2024-09-15,936.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_WEST_0055
REC_000058,DC_EAST,2840016014,2024-09-16,1044.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_EAST_0053
REC_000059,DC_EAST,4900005010,2024-09-16,1584.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_EAST_0054
REC_000060,DC_WEST,4900005010,2024-09-17,277.0,SUPPLIER_DELIVERY,False,False,PO_20240909_DC_WEST_0057
REC_000061,DC_EAST,2840016014,2024-11-08,468.0,SUPPLIER_DELIVERY,False,False,PO_20241104_DC_EAST_0058
REC_000062,DC_WEST,2840016014,2024-11-16,336.0,SUPPLIER_DELIVERY,False,False,PO_20241111_DC_WEST_0059
REC_000063,DC_EAST,2840016014,2024-11-29,756.0,SUPPLIER_DELIVERY,False,False,PO_20241125_DC_EAST_0060
REC_000064,DC_WEST,4900005010,2024-11-30,378.0,SUPPLIER_DELIVERY,True,False,PO_20241125_DC_WEST_0062
REC_000065,DC_EAST,4900005010,2024-12-02,660.0,SUPPLIER_DELIVERY,False,False,PO_20241125_DC_EAST_0061
REC_000066,DC_EAST,2840016014,2024-12-05,480.0,SUPPLIER_DELIVERY,False,True,PO_20241202_DC_EAST_0064
REC_000067,DC_EAST,1200080994,2024-12-06,1083.0,SUPPLIER_DELIVERY,False,True,PO_20241202_DC_EAST_0063
REC_000068,DC_WEST,2840016014,2024-12-06,600.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_WEST_0067
REC_000069,DC_EAST,4900005010,2024-12-07,1290.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_EAST_0065
REC_000070,DC_EAST,2840016014,2024-12-08,420.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_EAST_0064
REC_000071,DC_WEST,1200080994,2024-12-08,804.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_WEST_0066
REC_000072,DC_EAST,1200080994,2024-12-09,577.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_EAST_0063
REC_000073,DC_WEST,4900005010,2024-12-09,636.0,SUPPLIER_DELIVERY,False,False,PO_20241202_DC_WEST_0068
REC_000074,DC_WEST,4900005010,2024-12-27,666.0,SUPPLIER_DELIVERY,False,False,PO_20241223_DC_WEST_0073
REC_000075,DC_EAST,4900005010,2024-12-29,1176.0,SUPPLIER_DELIVERY,False,False,PO_20241223_DC_EAST_0070
REC_000076,DC_EAST,1200080994,2024-12-30,1252.0,SUPPLIER_DELIVERY,False,False,PO_20241223_DC_EAST_0069
REC_000077,DC_WEST,1200080994,2024-12-30,620.0,SUPPLIER_DELIVERY,False,False,PO_20241223_DC_WEST_0071
REC_000078,DC_WEST,2840016014,2024-12-30,480.0,SUPPLIER_DELIVERY,False,False,PO_20241223_DC_WEST_0072
