so_number,store_id,dc_id,order_date,week,order_type
SO_20240205_STR_W01_0021,STR_W01,DC_WEST,2024-02-05,2024-W06,PROMO
SO_20240212_STR_E01_0022,STR_E01,DC_EAST,2024-02-12,2024-W07,STANDARD
SO_20240212_STR_E02_0023,STR_E02,DC_EAST,2024-02-12,2024-W07,STANDARD
SO_20240212_STR_W01_0024,STR_W01,DC_WEST,2024-02-12,2024-W07,STANDARD
SO_20240219_STR_W01_0025,STR_W01,DC_WEST,2024-02-19,2024-W08,STANDARD
SO_20240226_STR_E01_0026,STR_E01,DC_EAST,2024-02-26,2024-W09,STANDARD
SO_20240226_STR_E02_0027,STR_E02,DC_EAST,2024-02-26,2024-W09,STANDARD
SO_20240226_STR_W01_0028,STR_W01,DC_WEST,2024-02-26,2024-W09,STANDARD
SO_20240304_STR_E01_0029,STR_E01,DC_EAST,2024-03-04,2024-W10,STANDARD
SO_20240304_STR_E02_0030,STR_E02,DC_EAST,2024-03-04,2024-W10,STANDARD
SO_20240304_STR_W01_0031,STR_W01,DC_WEST,2024-03-04,2024-W10,STANDARD
SO_20240311_STR_E01_0032,STR_E01,DC_EAST,2024-03-11,2024-W11,STANDARD
SO_20240311_STR_E02_0033,STR_E02,DC_EAST,2024-03-11,2024-W11,STANDARD
SO_20240311_STR_W01_0034,STR_W01,DC_WEST,2024-03-11,2024-W11,STANDARD
SO_20240318_STR_E01_0035,STR_E01,DC_EAST,2024-03-18,2024-W12,PROMO
SO_20240318_STR_E02_0036,STR_E02,DC_EAST,2024-03-18,2024-W12,PROMO
SO_20240318_STR_W01_0037,STR_W01,DC_WEST,2024-03-18,2024-W12,PROMO
SO_20240325_STR_E01_0038,STR_E01,DC_EAST,2024-03-25,2024-W13,EMERGENCY
SO_20240325_STR_E02_0039,STR_E02,DC_EAST,2024-03-25,2024-W13,EMERGENCY
SO_20240325_STR_E02_0040,STR_E02,DC_EAST,2024-03-25,2024-W13,EMERGENCY
SO_20240325_STR_W01_0041,STR_W01,DC_WEST,2024-03-25,2024-W13,EMERGENCY
SO_20240325_STR_E01_0042,STR_E01,DC_EAST,2024-03-25,2024-W13,PROMO
SO_20240325_STR_E02_0043,STR_E02,DC_EAST,2024-03-25,2024-W13,PROMO
SO_20240325_STR_W01_0044,STR_W01,DC_WEST,2024-03-25,2024-W13,PROMO
SO_20240328_STR_E02_0045,STR_E02,DC_EAST,2024-03-28,2024-W13,EMERGENCY
SO_20240329_STR_E02_0046,STR_E02,DC_EAST,2024-03-29,2024-W13,EMERGENCY
SO_20240330_STR_E02_0047,STR_E02,DC_EAST,2024-03-30,2024-W13,EMERGENCY
SO_20240331_STR_E02_0048,STR_E02,DC_EAST,2024-03-31,2024-W13,EMERGENCY
SO_20240331_STR_W01_0049,STR_W01,DC_WEST,2024-03-31,2024-W13,EMERGENCY
SO_20240401_STR_E01_0050,STR_E01,DC_EAST,2024-04-01,2024-W14,EMERGENCY
SO_20240401_STR_E01_0051,STR_E01,DC_EAST,2024-04-01,2024-W14,EMERGENCY
SO_20240401_STR_E02_0052,STR_E02,DC_EAST,2024-04-01,2024-W14,EMERGENCY
SO_20240401_STR_W01_0053,STR_W01,DC_WEST,2024-04-01,2024-W14,EMERGENCY
SO_20240401_STR_E01_0054,STR_E01,DC_EAST,2024-04-01,2024-W14,PROMO
SO_20240401_STR_E02_0055,STR_E02,DC_EAST,2024-04-01,2024-W14,PROMO
SO_20240401_STR_W01_0056,STR_W01,DC_WEST,2024-04-01,2024-W14,PROMO
SO_20240408_STR_E01_0057,STR_E01,DC_EAST,2024-04-08,2024-W15,STANDARD
SO_20240408_STR_E02_0058,STR_E02,DC_EAST,2024-04-08,2024-W15,STANDARD
SO_20240408_STR_W01_0059,STR_W01,DC_WEST,2024-04-08,2024-W15,STANDARD
SO_20240415_STR_E01_0060,STR_E01,DC_EAST,2024-04-15,2024-W16,STANDARD
SO_20240415_STR_E02_0061,STR_E02,DC_EAST,2024-04-15,2024-W16,STANDARD
SO_20240415_STR_W01_0062,STR_W01,DC_WEST,2024-04-15,2024-W16,STANDARD
SO_20240422_STR_E01_0063,STR_E01,DC_EAST,2024-04-22,2024-W17,STANDARD
SO_20240422_STR_E02_0064,STR_E02,DC_EAST,2024-04-22,2024-W17,STANDARD
SO_20240422_STR_W01_0065,STR_W01,DC_WEST,2024-04-22,2024-W17,STANDARD
SO_20240429_STR_E01_0066,STR_E01,DC_EAST,2024-04-29,2024-W18,STANDARD
SO_20240429_STR_E02_0067,STR_E02,DC_EAST,2024-04-29,2024-W18,STANDARD
SO_20240429_STR_W01_0068,STR_W01,DC_WEST,2024-04-29,2024-W18,STANDARD
SO_20240506_STR_E01_0069,STR_E01,DC_EAST,2024-05-06,2024-W19,STANDARD
SO_20240506_STR_E02_0070,STR_E02,DC_EAST,2024-05-06,2024-W19,STANDARD
SO_20240506_STR_W01_0071,STR_W01,DC_WEST,2024-05-06,2024-W19,STANDARD
SO_20240513_STR_E01_0072,STR_E01,DC_EAST,2024-05-13,2024-W20,STANDARD
SO_20240513_STR_E02_0073,STR_E02,DC_EAST,2024-05-13,2024-W20,STANDARD
SO_20240513_STR_W01_0074,STR_W01,DC_WEST,2024-05-13,2024-W20,STANDARD
SO_20240527_STR_E01_0075,STR_E01,DC_EAST,2024-05-27,2024-W22,PROMO
SO_20240527_STR_E02_0076,STR_E02,DC_EAST,2024-05-27,2024-W22,PROMO
SO_20240527_STR_W01_0077,STR_W01,DC_WEST,2024-05-27,2024-W22,PROMO
SO_20240530_STR_E02_0078,STR_E02,DC_EAST,2024-05-30,2024-W22,EMERGENCY
SO_20240531_STR_E02_0079,STR_E02,DC_EAST,2024-05-31,2024-W22,EMERGENCY
SO_20240601_STR_E02_0080,STR_E02,DC_EAST,2024-06-01,2024-W22,EMERGENCY
SO_20240601_STR_W01_0081,STR_W01,DC_WEST,2024-06-01,2024-W22,EMERGENCY
SO_20240602_STR_E02_0082,STR_E02,DC_EAST,2024-06-02,2024-W22,EMERGENCY
SO_20240603_STR_E01_0083,STR_E01,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E01_0084,STR_E01,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E01_0085,STR_E01,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E02_0086,STR_E02,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E02_0087,STR_E02,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E02_0088,STR_E02,DC_EAST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_W01_0089,STR_W01,DC_WEST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_W01_0090,STR_W01,DC_WEST,2024-06-03,2024-W23,EMERGENCY
SO_20240603_STR_E01_0091,STR_E01,DC_EAST,2024-06-03,2024-W23,PROMO
SO_20240603_STR_E02_0092,STR_E02,DC_EAST,2024-06-03,2024-W23,PROMO
SO_20240603_STR_W01_0093,STR_W01,DC_WEST,2024-06-03,2024-W23,PROMO
SO_20240604_STR_E02_0094,STR_E02,DC_EAST,2024-06-04,2024-W23,EMERGENCY
SO_20240605_STR_E02_0095,STR_E02,DC_EAST,2024-06-05,2024-W23,EMERGENCY
SO_20240610_STR_E01_0096,STR_E01,DC_EAST,2024-06-10,2024-W24,STANDARD
SO_20240610_STR_E02_0097,STR_E02,DC_EAST,2024-06-10,2024-W24,STANDARD
SO_20240610_STR_W01_0098,STR_W01,DC_WEST,2024-06-10,2024-W24,STANDARD
SO_20240617_STR_E01_0099,STR_E01,DC_EAST,2024-06-17,2024-W25,STANDARD
SO_20240617_STR_E02_0100,STR_E02,DC_EAST,2024-06-17,2024-W25,STANDARD
SO_20240617_STR_W01_0101,STR_W01,DC_WEST,2024-06-17,2024-W25,STANDARD
SO_20240701_STR_E01_0102,STR_E01,DC_EAST,2024-07-01,2024-W27,PROMO
SO_20240701_STR_E02_0103,STR_E02,DC_EAST,2024-07-01,2024-W27,PROMO
SO_20240701_STR_W01_0104,STR_W01,DC_WEST,2024-07-01,2024-W27,PROMO
SO_20240702_STR_E01_0105,STR_E01,DC_EAST,2024-07-02,2024-W27,EMERGENCY
SO_20240702_STR_W01_0106,STR_W01,DC_WEST,2024-07-02,2024-W27,EMERGENCY
SO_20240703_STR_W01_0107,STR_W01,DC_WEST,2024-07-03,2024-W27,EMERGENCY
SO_20240703_STR_W01_0108,STR_W01,DC_WEST,2024-07-03,2024-W27,EMERGENCY
SO_20240705_STR_E02_0109,STR_E02,DC_EAST,2024-07-05,2024-W27,EMERGENCY
SO_20240706_STR_E02_0110,STR_E02,DC_EAST,2024-07-06,2024-W27,EMERGENCY
SO_20240707_STR_E02_0111,STR_E02,DC_EAST,2024-07-07,2024-W27,EMERGENCY
SO_20240708_STR_E01_0112,STR_E01,DC_EAST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_E01_0113,STR_E01,DC_EAST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_E02_0114,STR_E02,DC_EAST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_E02_0115,STR_E02,DC_EAST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_W01_0116,STR_W01,DC_WEST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_W01_0117,STR_W01,DC_WEST,2024-07-08,2024-W28,EMERGENCY
SO_20240708_STR_E01_0118,STR_E01,DC_EAST,2024-07-08,2024-W28,PROMO
SO_20240708_STR_E02_0119,STR_E02,DC_EAST,2024-07-08,2024-W28,PROMO
SO_20240708_STR_W01_0120,STR_W01,DC_WEST,2024-07-08,2024-W28,PROMO
SO_20240715_STR_E01_0121,STR_E01,DC_EAST,2024-07-15,2024-W29,STANDARD
SO_20240715_STR_E02_0122,STR_E02,DC_EAST,2024-07-15,2024-W29,STANDARD
SO_20240715_STR_W01_0123,STR_W01,DC_WEST,2024-07-15,2024-W29,STANDARD
SO_20240722_STR_E01_0124,STR_E01,DC_EAST,2024-07-22,2024-W30,STANDARD
SO_20240722_STR_E02_0125,STR_E02,DC_EAST,2024-07-22,2024-W30,STANDARD
SO_20240722_STR_W01_0126,STR_W01,DC_WEST,2024-07-22,2024-W30,STANDARD
SO_20240729_STR_E01_0127,STR_E01,DC_EAST,2024-07-29,2024-W31,STANDARD
SO_20240729_STR_E02_0128,STR_E02,DC_EAST,2024-07-29,2024-W31,STANDARD
SO_20240729_STR_W01_0129,STR_W01,DC_WEST,2024-07-29,2024-W31,STANDARD
SO_20240812_STR_E01_0130,STR_E01,DC_EAST,2024-08-12,2024-W33,PROMO
SO_20240812_STR_E02_0131,STR_E02,DC_EAST,2024-08-12,2024-W33,PROMO
SO_20240812_STR_W01_0132,STR_W01,DC_WEST,2024-08-12,2024-W33,PROMO
SO_20240813_STR_E01_0133,STR_E01,DC_EAST,2024-08-13,2024-W33,EMERGENCY
SO_20240814_STR_E01_0134,STR_E01,DC_EAST,2024-08-14,2024-W33,EMERGENCY
SO_20240816_STR_E02_0135,STR_E02,DC_EAST,2024-08-16,2024-W33,EMERGENCY
SO_20240817_STR_W01_0136,STR_W01,DC_WEST,2024-08-17,2024-W33,EMERGENCY
SO_20240819_STR_E01_0137,STR_E01,DC_EAST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_E01_0138,STR_E01,DC_EAST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_E02_0139,STR_E02,DC_EAST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_E02_0140,STR_E02,DC_EAST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_W01_0141,STR_W01,DC_WEST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_W01_0142,STR_W01,DC_WEST,2024-08-19,2024-W34,EMERGENCY
SO_20240819_STR_E01_0143,STR_E01,DC_EAST,2024-08-19,2024-W34,PROMO
SO_20240819_STR_E02_0144,STR_E02,DC_EAST,2024-08-19,2024-W34,PROMO
SO_20240819_STR_W01_0145,STR_W01,DC_WEST,2024-08-19,2024-W34,PROMO
SO_20240826_STR_E01_0146,STR_E01,DC_EAST,2024-08-26,2024-W35,PROMO
SO_20240826_STR_E02_0147,STR_E02,DC_EAST,2024-08-26,2024-W35,PROMO
SO_20240826_STR_W01_0148,STR_W01,DC_WEST,2024-08-26,2024-W35,PROMO
SO_20240902_STR_E01_0149,STR_E01,DC_EAST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_E01_0150,STR_E01,DC_EAST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_E02_0151,STR_E02,DC_EAST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_E02_0152,STR_E02,DC_EAST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_E02_0153,STR_E02,DC_EAST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_W01_0154,STR_W01,DC_WEST,2024-09-02,2024-W36,EMERGENCY
SO_20240902_STR_E01_0155,STR_E01,DC_EAST,2024-09-02,2024-W36,PROMO
SO_20240902_STR_E02_0156,STR_E02,DC_EAST,2024-09-02,2024-W36,PROMO
SO_20240902_STR_W01_0157,STR_W01,DC_WEST,2024-09-02,2024-W36,PROMO
SO_20240903_STR_W01_0158,STR_W01,DC_WEST,2024-09-03,2024-W36,EMERGENCY
SO_20240909_STR_E01_0159,STR_E01,DC_EAST,2024-09-09,2024-W37,EMERGENCY
SO_20240909_STR_E02_0160,STR_E02,DC_EAST,2024-09-09,2024-W37,EMERGENCY
SO_20240909_STR_W01_0161,STR_W01,DC_WEST,2024-09-09,2024-W37,EMERGENCY
SO_20240909_STR_E01_0162,STR_E01,DC_EAST,2024-09-09,2024-W37,PROMO
SO_20240909_STR_E02_0163,STR_E02,DC_EAST,2024-09-09,2024-W37,PROMO
SO_20240909_STR_W01_0164,STR_W01,DC_WEST,2024-09-09,2024-W37,PROMO
SO_20240916_STR_E01_0165,STR_E01,DC_EAST,2024-09-16,2024-W38,STANDARD
SO_20240916_STR_E02_0166,STR_E02,DC_EAST,2024-09-16,2024-W38,STANDARD
SO_20240916_STR_W01_0167,STR_W01,DC_WEST,2024-09-16,2024-W38,STANDARD
SO_20240923_STR_E01_0168,STR_E01,DC_EAST,2024-09-23,2024-W39,STANDARD
SO_20240923_STR_E02_0169,STR_E02,DC_EAST,2024-09-23,2024-W39,STANDARD
SO_20240923_STR_W01_0170,STR_W01,DC_WEST,2024-09-23,2024-W39,STANDARD
SO_20240930_STR_E01_0171,STR_E01,DC_EAST,2024-09-30,2024-W40,STANDARD
SO_20240930_STR_E02_0172,STR_E02,DC_EAST,2024-09-30,2024-W40,STANDARD
SO_20240930_STR_W01_0173,STR_W01,DC_WEST,2024-09-30,2024-W40,STANDARD
SO_20241007_STR_E01_0174,STR_E01,DC_EAST,2024-10-07,2024-W41,STANDARD
SO_20241007_STR_E02_0175,STR_E02,DC_EAST,2024-10-07,2024-W41,STANDARD
SO_20241007_STR_W01_0176,STR_W01,DC_WEST,2024-10-07,2024-W41,STANDARD
SO_20241014_STR_E01_0177,STR_E01,DC_EAST,2024-10-14,2024-W42,STANDARD
SO_20241014_STR_E02_0178,STR_E02,DC_EAST,2024-10-14,2024-W42,STANDARD
SO_20241014_STR_W01_0179,STR_W01,DC_WEST,2024-10-14,2024-W42,STANDARD
SO_20241021_STR_E01_0180,STR_E01,DC_EAST,2024-10-21,2024-W43,STANDARD
SO_20241021_STR_E02_0181,STR_E02,DC_EAST,2024-10-21,2024-W43,STANDARD
SO_20241021_STR_W01_0182,STR_W01,DC_WEST,2024-10-21,2024-W43,STANDARD
SO_20241028_STR_E01_0183,STR_E01,DC_EAST,2024-10-28,2024-W44,STANDARD
SO_20241028_STR_E02_0184,STR_E02,DC_EAST,2024-10-28,2024-W44,STANDARD
SO_20241028_STR_W01_0185,STR_W01,DC_WEST,2024-10-28,2024-W44,STANDARD
SO_20241104_STR_E01_0186,STR_E01,DC_EAST,2024-11-04,2024-W45,STANDARD
SO_20241104_STR_E02_0187,STR_E02,DC_EAST,2024-11-04,2024-W45,STANDARD
SO_20241104_STR_W01_0188,STR_W01,DC_WEST,2024-11-04,2024-W45,STANDARD
SO_20241111_STR_E01_0189,STR_E01,DC_EAST,2024-11-11,2024-W46,STANDARD
SO_20241111_STR_E02_0190,STR_E02,DC_EAST,2024-11-11,2024-W46,STANDARD
SO_20241111_STR_W01_0191,STR_W01,DC_WEST,2024-11-11,2024-W46,STANDARD
SO_20241118_STR_E01_0192,STR_E01,DC_EAST,2024-11-18,2024-W47,PROMO
SO_20241118_STR_E02_0193,STR_E02,DC_EAST,2024-11-18,2024-W47,PROMO
SO_20241125_STR_E01_0194,STR_E01,DC_EAST,2024-11-25,2024-W48,EMERGENCY
SO_20241125_STR_E01_0195,STR_E01,DC_EAST,2024-11-25,2024-W48,EMERGENCY
SO_20241125_STR_E02_0196,STR_E02,DC_EAST,2024-11-25,2024-W48,EMERGENCY
SO_20241125_STR_E01_0197,STR_E01,DC_EAST,2024-11-25,2024-W48,PROMO
SO_20241125_STR_E02_0198,STR_E02,DC_EAST,2024-11-25,2024-W48,PROMO
SO_20241125_STR_W01_0199,STR_W01,DC_WEST,2024-11-25,2024-W48,PROMO
SO_20241126_STR_E02_0200,STR_E02,DC_EAST,2024-11-26,2024-W48,EMERGENCY
SO_20241126_STR_E02_0201,STR_E02,DC_EAST,2024-11-26,2024-W48,EMERGENCY
SO_20241126_STR_W01_0202,STR_W01,DC_WEST,2024-11-26,2024-W48,EMERGENCY
SO_20241127_STR_E02_0203,STR_E02,DC_EAST,2024-11-27,2024-W48,EMERGENCY
SO_20241127_STR_E02_0204,STR_E02,DC_EAST,2024-11-27,2024-W48,EMERGENCY
SO_20241127_STR_W01_0205,STR_W01,DC_WEST,2024-11-27,2024-W48,EMERGENCY
SO_20241128_STR_E02_0206,STR_E02,DC_EAST,2024-11-28,2024-W48,EMERGENCY
SO_20241128_STR_E02_0207,STR_E02,DC_EAST,2024-11-28,2024-W48,EMERGENCY
SO_20241129_STR_E02_0208,STR_E02,DC_EAST,2024-11-29,2024-W48,EMERGENCY
SO_20241130_STR_E02_0209,STR_E02,DC_EAST,2024-11-30,2024-W48,EMERGENCY
SO_20241201_STR_E01_0210,STR_E01,DC_EAST,2024-12-01,2024-W48,EMERGENCY
SO_20241201_STR_E02_0211,STR_E02,DC_EAST,2024-12-01,2024-W48,EMERGENCY
SO_20241201_STR_E02_0212,STR_E02,DC_EAST,2024-12-01,2024-W48,EMERGENCY
SO_20241201_STR_W01_0213,STR_W01,DC_WEST,2024-12-01,2024-W48,EMERGENCY
SO_20241201_STR_W01_0214,STR_W01,DC_WEST,2024-12-01,2024-W48,EMERGENCY
SO_20241202_STR_E01_0215,STR_E01,DC_EAST,2024-12-02,2024-W49,EMERGENCY
SO_20241202_STR_E02_0216,STR_E02,DC_EAST,2024-12-02,2024-W49,EMERGENCY
SO_20241202_STR_E02_0217,STR_E02,DC_EAST,2024-12-02,2024-W49,EMERGENCY
SO_20241202_STR_W01_0218,STR_W01,DC_WEST,2024-12-02,2024-W49,EMERGENCY
SO_20241202_STR_W01_0219,STR_W01,DC_WEST,2024-12-02,2024-W49,EMERGENCY
SO_20241202_STR_E01_0220,STR_E01,DC_EAST,2024-12-02,2024-W49,PROMO
SO_20241202_STR_E02_0221,STR_E02,DC_EAST,2024-12-02,2024-W49,PROMO
SO_20241202_STR_W01_0222,STR_W01,DC_WEST,2024-12-02,2024-W49,PROMO
SO_20241209_STR_E01_0223,STR_E01,DC_EAST,2024-12-09,2024-W50,STANDARD
SO_20241209_STR_E02_0224,STR_E02,DC_EAST,2024-12-09,2024-W50,STANDARD
SO_20241209_STR_W01_0225,STR_W01,DC_WEST,2024-12-09,2024-W50,STANDARD
SO_20241216_STR_E01_0226,STR_E01,DC_EAST,2024-12-16,2024-W51,PROMO
SO_20241216_STR_E02_0227,STR_E02,DC_EAST,2024-12-16,2024-W51,PROMO
SO_20241216_STR_W01_0228,STR_W01,DC_WEST,2024-12-16,2024-W51,PROMO
SO_20241223_STR_E01_0229,STR_E01,DC_EAST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_E01_0230,STR_E01,DC_EAST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_E01_0231,STR_E01,DC_EAST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_E02_0232,STR_E02,DC_EAST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_E02_0233,STR_E02,DC_EAST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_W01_0234,STR_W01,DC_WEST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_W01_0235,STR_W01,DC_WEST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_W01_0236,STR_W01,DC_WEST,2024-12-23,2024-W52,EMERGENCY
SO_20241223_STR_E01_0237,STR_E01,DC_EAST,2024-12-23,2024-W52,PROMO
SO_20241223_STR_E02_0238,STR_E02,DC_EAST,2024-12-23,2024-W52,PROMO
SO_20241223_STR_W01_0239,STR_W01,DC_WEST,2024-12-23,2024-W52,PROMO
SO_20241224_STR_E02_0240,STR_E02,DC_EAST,2024-12-24,2024-W52,EMERGENCY
SO_20241225_STR_E02_0241,STR_E02,DC_EAST,2024-12-25,2024-W52,EMERGENCY
SO_20241225_STR_W01_0242,STR_W01,DC_WEST,2024-12-25,2024-W52,EMERGENCY
SO_20241226_STR_E02_0243,STR_E02,DC_EAST,2024-12-26,2024-W52,EMERGENCY
SO_20241226_STR_W01_0244,STR_W01,DC_WEST,2024-12-26,2024-W52,EMERGENCY
SO_20241227_STR_E02_0245,STR_E02,DC_EAST,2024-12-27,2024-W52,EMERGENCY
SO_20241227_STR_W01_0246,STR_W01,DC_WEST,2024-12-27,2024-W52,EMERGENCY
SO_20241228_STR_E01_0247,STR_E01,DC_EAST,2024-12-28,2024-W52,EMERGENCY
SO_20241228_STR_E02_0248,STR_E02,DC_EAST,2024-12-28,2024-W52,EMERGENCY
SO_20241229_STR_E01_0249,STR_E01,DC_EAST,2024-12-29,2024-W52,EMERGENCY
SO_20241229_STR_E02_0250,STR_E02,DC_EAST,2024-12-29,2024-W52,EMERGENCY
SO_20241229_STR_E02_0251,STR_E02,DC_EAST,2024-12-29,2024-W52,EMERGENCY
SO_20241229_STR_E02_0252,STR_E02,DC_EAST,2024-12-29,2024-W52,EMERGENCY
SO_20241229_STR_W01_0253,STR_W01,DC_WEST,2024-12-29,2024-W52,EMERGENCY
SO_20241230_STR_E02_0254,STR_E02,DC_EAST,2024-12-30,2025-W01,EMERGENCY
SO_20241230_STR_E01_0255,STR_E01,DC_EAST,2024-12-30,2025-W01,PROMO
SO_20241230_STR_E02_0256,STR_E02,DC_EAST,2024-12-30,2025-W01,PROMO
SO_20241231_STR_E01_0257,STR_E01,DC_EAST,2024-12-31,2025-W01,EMERGENCY
