po_number,dc_id,supplier_id,order_date,expected_date
PO_20240610_DC_EAST_0046,DC_EAST,SUP_001,2024-06-10,2024-06-13
PO_20240610_DC_WEST_0047,DC_WEST,SUP_001,2024-06-10,2024-06-13
PO_20240610_DC_WEST_0048,DC_WEST,SUP_001,2024-06-10,2024-06-15
PO_20240701_DC_EAST_0049,DC_EAST,SUP_001,2024-07-01,2024-07-07
PO_20240701_DC_EAST_0050,DC_EAST,SUP_001,2024-07-01,2024-07-05
PO_20240701_DC_EAST_0051,DC_EAST,SUP_001,2024-07-01,2024-07-08
PO_20240701_DC_WEST_0052,DC_WEST,SUP_001,2024-07-01,2024-07-08
PO_20240701_DC_WEST_0053,DC_WEST,SUP_001,2024-07-01,2024-07-08
PO_20240701_DC_WEST_0054,DC_WEST,SUP_001,2024-07-01,2024-07-07
PO_20240708_DC_EAST_0055,DC_EAST,SUP_001,2024-07-08,2024-07-12
PO_20240708_DC_EAST_0056,DC_EAST,SUP_001,2024-07-08,2024-07-13
PO_20240708_DC_WEST_0057,DC_WEST,SUP_001,2024-07-08,2024-07-11
PO_20240708_DC_WEST_0058,DC_WEST,SUP_001,2024-07-08,2024-07-15
PO_20240715_DC_EAST_0059,DC_EAST,SUP_001,2024-07-15,2024-07-19
PO_20240715_DC_WEST_0060,DC_WEST,SUP_001,2024-07-15,2024-07-22
PO_20240729_DC_EAST_0061,DC_EAST,SUP_001,2024-07-29,2024-08-03
PO_20240729_DC_EAST_0062,DC_EAST,SUP_001,2024-07-29,2024-08-05
PO_20240729_DC_WEST_0063,DC_WEST,SUP_001,2024-07-29,2024-08-03
PO_20240812_DC_EAST_0064,DC_EAST,SUP_001,2024-08-12,2024-08-18
PO_20240812_DC_EAST_0065,DC_EAST,SUP_001,2024-08-12,2024-08-16
PO_20240812_DC_WEST_0066,DC_WEST,SUP_001,2024-08-12,2024-08-17
PO_20240812_DC_WEST_0067,DC_WEST,SUP_001,2024-08-12,2024-08-19
PO_20240819_DC_EAST_0068,DC_EAST,SUP_001,2024-08-19,2024-08-25
PO_20240819_DC_WEST_0069,DC_WEST,SUP_001,2024-08-19,2024-08-22
PO_20240826_DC_EAST_0070,DC_EAST,SUP_001,2024-08-26,2024-09-01
PO_20240826_DC_WEST_0071,DC_WEST,SUP_001,2024-08-26,2024-08-29
PO_20240902_DC_EAST_0072,DC_EAST,SUP_001,2024-09-02,2024-09-05
PO_20240902_DC_EAST_0073,DC_EAST,SUP_001,2024-09-02,2024-09-06
PO_20240902_DC_EAST_0074,DC_EAST,SUP_001,2024-09-02,2024-09-06
PO_20240902_DC_WEST_0075,DC_WEST,SUP_001,2024-09-02,2024-09-06
PO_20240902_DC_WEST_0076,DC_WEST,SUP_001,2024-09-02,2024-09-09
PO_20240902_DC_WEST_0077,DC_WEST,SUP_001,2024-09-02,2024-09-07
PO_20240916_DC_EAST_0078,DC_EAST,SUP_001,2024-09-16,2024-09-20
PO_20240916_DC_EAST_0079,DC_EAST,SUP_001,2024-09-16,2024-09-19
PO_20240916_DC_EAST_0080,DC_EAST,SUP_001,2024-09-16,2024-09-22
PO_20240916_DC_WEST_0081,DC_WEST,SUP_001,2024-09-16,2024-09-19
PO_20240916_DC_WEST_0082,DC_WEST,SUP_001,2024-09-16,2024-09-23
PO_20240916_DC_WEST_0083,DC_WEST,SUP_001,2024-09-16,2024-09-23
PO_20241007_DC_EAST_0084,DC_EAST,SUP_001,2024-10-07,2024-10-13
PO_20241007_DC_EAST_0085,DC_EAST,SUP_001,2024-10-07,2024-10-14
PO_20241007_DC_EAST_0086,DC_EAST,SUP_001,2024-10-07,2024-10-11
PO_20241007_DC_WEST_0087,DC_WEST,SUP_001,2024-10-07,2024-10-14
PO_20241007_DC_WEST_0088,DC_WEST,SUP_001,2024-10-07,2024-10-12
PO_20241007_DC_WEST_0089,DC_WEST,SUP_001,2024-10-07,2024-10-10
PO_20241028_DC_EAST_0090,DC_EAST,SUP_001,2024-10-28,2024-11-04
PO_20241028_DC_EAST_0091,DC_EAST,SUP_001,2024-10-28,2024-10-31
PO_20241028_DC_EAST_0092,DC_EAST,SUP_001,2024-10-28,2024-11-03
PO_20241028_DC_WEST_0093,DC_WEST,SUP_001,2024-10-28,2024-11-03
PO_20241028_DC_WEST_0094,DC_WEST,SUP_001,2024-10-28,2024-11-03
PO_20241028_DC_WEST_0095,DC_WEST,SUP_001,2024-10-28,2024-10-31
PO_20241125_DC_EAST_0096,DC_EAST,SUP_001,2024-11-25,2024-12-01
PO_20241125_DC_EAST_0097,DC_EAST,SUP_001,2024-11-25,2024-12-01
PO_20241125_DC_EAST_0098,DC_EAST,SUP_001,2024-11-25,2024-12-02
PO_20241125_DC_WEST_0099,DC_WEST,SUP_001,2024-11-25,2024-11-30
PO_20241125_DC_WEST_0100,DC_WEST,SUP_001,2024-11-25,2024-11-29
PO_20241125_DC_WEST_0101,DC_WEST,SUP_001,2024-11-25,2024-11-30
PO_20241202_DC_EAST_0102,DC_EAST,SUP_001,2024-12-02,2024-12-07
PO_20241202_DC_WEST_0103,DC_WEST,SUP_001,2024-12-02,2024-12-09
PO_20241202_DC_WEST_0104,DC_WEST,SUP_001,2024-12-02,2024-12-06
PO_20241209_DC_EAST_0105,DC_EAST,SUP_001,2024-12-09,2024-12-12
PO_20241209_DC_EAST_0106,DC_EAST,SUP_001,2024-12-09,2024-12-16
PO_20241209_DC_WEST_0107,DC_WEST,SUP_001,2024-12-09,2024-12-13
PO_20241216_DC_WEST_0108,DC_WEST,SUP_001,2024-12-16,2024-12-19
PO_20241223_DC_EAST_0109,DC_EAST,SUP_001,2024-12-23,2024-12-30
PO_20241223_DC_EAST_0110,DC_EAST,SUP_001,2024-12-23,2024-12-29
PO_20241223_DC_EAST_0111,DC_EAST,SUP_001,2024-12-23,2024-12-27
PO_20241223_DC_WEST_0112,DC_WEST,SUP_001,2024-12-23,2024-12-29
PO_20241223_DC_WEST_0113,DC_WEST,SUP_001,2024-12-23,2024-12-29
PO_20241223_DC_WEST_0114,DC_WEST,SUP_001,2024-12-23,2024-12-30
PO_20241230_DC_EAST_0115,DC_EAST,SUP_001,2024-12-30,2025-01-06
