promo_name,promo_group_name,event_type,start_date,end_date,demand_multiplier,post_promo_decay_days,post_promo_decay_shape
TOSTITOS_BOGO_MEMORIAL_DAY_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-05-27,2013-06-02,2.0,7,LINEAR
TOSTITOS_BOGO_JULY4_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-07-01,2013-07-07,2.0,7,LINEAR
TOSTITOS_BOGO_BACK_TO_SCHOOL_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-08-12,2013-08-18,2.0,7,LINEAR
TOSTITOS_BOGO_LABOR_DAY_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-09-02,2013-09-08,2.0,7,LINEAR
TOSTITOS_BOGO_THANKSGIVING_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-11-25,2013-12-01,2.0,7,LINEAR
TOSTITOS_BOGO_CHRISTMAS_2013,TOSTITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-12-23,2013-12-29,2.0,7,LINEAR
DORITOS_BOGO_SUPER_BOWL_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-01-28,2013-02-03,2.0,7,LINEAR
DORITOS_BOGO_CINCO_MAYO_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-04-29,2013-05-05,2.0,7,LINEAR
DORITOS_BOGO_MEMORIAL_DAY_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-05-27,2013-06-02,2.0,7,LINEAR
DORITOS_BOGO_JULY4_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-07-01,2013-07-07,2.0,7,LINEAR
DORITOS_BOGO_BACK_TO_SCHOOL_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-08-12,2013-08-18,2.0,7,LINEAR
DORITOS_BOGO_LABOR_DAY_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-09-02,2013-09-08,2.0,7,LINEAR
DORITOS_BOGO_THANKSGIVING_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-11-25,2013-12-01,2.0,7,LINEAR
DORITOS_BOGO_CHRISTMAS_2013,DORITOS_TORTILLA_CHIPS_PROMO,BOGO_Ad,2013-12-23,2013-12-29,2.0,7,LINEAR
SNYDERS_299_SUPER_BOWL_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-01-28,2013-02-03,1.7,7,LINEAR
SNYDERS_299_EASTER_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-03-25,2013-03-31,1.7,7,LINEAR
SNYDERS_299_MEMORIAL_DAY_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-05-27,2013-06-02,1.7,7,LINEAR
SNYDERS_299_JULY4_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-07-01,2013-07-07,1.7,7,LINEAR
SNYDERS_299_BACK_TO_SCHOOL_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-08-12,2013-08-18,1.7,7,LINEAR
SNYDERS_299_LABOR_DAY_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-09-02,2013-09-08,1.7,7,LINEAR
SNYDERS_299_THANKSGIVING_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-11-25,2013-12-01,1.7,7,LINEAR
SNYDERS_299_CHRISTMAS_2013,SNYDERS_PRETZELS_PROMO,2.99_Ad,2013-12-23,2013-12-29,1.7,7,LINEAR
PL_149_SUPER_BOWL_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-01-28,2013-02-03,2.0,7,LINEAR
PL_149_MEMORIAL_DAY_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-05-27,2013-06-02,2.0,7,LINEAR
PL_149_JULY4_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-07-01,2013-07-07,2.0,7,LINEAR
PL_149_LABOR_DAY_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-09-02,2013-09-08,2.0,7,LINEAR
PL_149_THANKSGIVING_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-11-25,2013-12-01,2.0,7,LINEAR
PL_149_CHRISTMAS_2013,PRIVATE_LABEL_PRETZELS_PROMO,1.49_Ad,2013-12-23,2013-12-29,2.0,7,LINEAR
PEPSI_12PK_B2G2_SUPER_BOWL_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-01-28,2013-02-03,4.0,7,LINEAR
PEPSI_12PK_B2G2_EASTER_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-03-25,2013-03-31,4.0,7,LINEAR
PEPSI_12PK_B2G2_MEMORIAL_DAY_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-05-27,2013-06-02,4.0,7,LINEAR
PEPSI_12PK_B2G2_JULY4_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-07-01,2013-07-07,4.0,7,LINEAR
PEPSI_12PK_B2G2_BACK_TO_SCHOOL_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-08-12,2013-08-18,4.0,7,LINEAR
PEPSI_12PK_B2G2_LABOR_DAY_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-09-02,2013-09-08,4.0,7,LINEAR
PEPSI_12PK_B2G2_THANKSGIVING_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-11-25,2013-12-01,4.0,7,LINEAR
PEPSI_12PK_B2G2_CHRISTMAS_2013,PEPSI_12PACK_PROMO,B2G2_Free_Ad,2013-12-23,2013-12-29,4.0,7,LINEAR
PEPSI_2LTR_3FOR5_SUPER_BOWL_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-01-28,2013-02-03,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_EASTER_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-03-25,2013-03-31,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_MEMORIAL_DAY_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-05-27,2013-06-02,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_JULY4_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-07-01,2013-07-07,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_BACK_TO_SCHOOL_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-08-12,2013-08-18,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_LABOR_DAY_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-09-02,2013-09-08,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_THANKSGIVING_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-11-25,2013-12-01,3.8,7,LINEAR
PEPSI_2LTR_3FOR5_CHRISTMAS_2013,PEPSI_2LTR_PROMO,3for5_Ad,2013-12-23,2013-12-29,3.8,7,LINEAR
PEPSI_2LTR_199_THANKSGIVING_2013,PEPSI_2LTR_PROMO,1.99_Ad,2013-11-25,2013-12-01,6.0,7,LINEAR
COLA_12PK_B2G2_SUPER_BOWL_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-01-28,2013-02-03,3.5,7,LINEAR
COLA_12PK_B2G2_EASTER_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-03-25,2013-03-31,3.5,7,LINEAR
COLA_12PK_B2G2_MEMORIAL_DAY_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-05-27,2013-06-02,3.5,7,LINEAR
COLA_12PK_B2G2_JULY4_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-07-01,2013-07-07,3.5,7,LINEAR
COLA_12PK_B2G2_BACK_TO_SCHOOL_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-08-12,2013-08-18,3.5,7,LINEAR
COLA_12PK_B2G2_LABOR_DAY_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-09-02,2013-09-08,3.5,7,LINEAR
COLA_12PK_B2G2_THANKSGIVING_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-11-25,2013-12-01,3.5,7,LINEAR
COLA_12PK_B2G2_CHRISTMAS_2013,COCA_COLA_12PACK_PROMO,B2G2_Free_Ad,2013-12-23,2013-12-29,3.5,7,LINEAR
COLA_2LTR_3FOR5_SUPER_BOWL_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-01-28,2013-02-03,3.2,7,LINEAR
COLA_2LTR_3FOR5_EASTER_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-03-25,2013-03-31,3.2,7,LINEAR
COLA_2LTR_3FOR5_MEMORIAL_DAY_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-05-27,2013-06-02,3.2,7,LINEAR
COLA_2LTR_3FOR5_JULY4_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-07-01,2013-07-07,3.2,7,LINEAR
COLA_2LTR_3FOR5_BACK_TO_SCHOOL_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-08-12,2013-08-18,3.2,7,LINEAR
COLA_2LTR_3FOR5_LABOR_DAY_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-09-02,2013-09-08,3.2,7,LINEAR
COLA_2LTR_3FOR5_THANKSGIVING_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-11-25,2013-12-01,3.2,7,LINEAR
COLA_2LTR_3FOR5_CHRISTMAS_2013,COCA_COLA_2LTR_PROMO,3for5_Ad,2013-12-23,2013-12-29,3.2,7,LINEAR
COLA_2LTR_199_CHRISTMAS_2013,COCA_COLA_2LTR_PROMO,1.99_Ad,2013-12-23,2013-12-29,8.0,7,LINEAR
CDRY_12PK_B2G1_SUPER_BOWL_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-01-28,2013-02-03,2.8,7,LINEAR
CDRY_12PK_B2G1_MEMORIAL_DAY_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-05-27,2013-06-02,2.8,7,LINEAR
CDRY_12PK_B2G1_JULY4_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-07-01,2013-07-07,2.8,7,LINEAR
CDRY_12PK_B2G1_LABOR_DAY_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-09-02,2013-09-08,2.8,7,LINEAR
CDRY_12PK_B2G1_THANKSGIVING_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-11-25,2013-12-01,2.8,7,LINEAR
CDRY_12PK_B2G1_CHRISTMAS_2013,CANADA_DRY_12PACK_PROMO,B2G1_Free_Ad,2013-12-23,2013-12-29,2.8,7,LINEAR
CDRY_2LTR_2FOR4_SUPER_BOWL_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-01-28,2013-02-03,2.4,7,LINEAR
CDRY_2LTR_2FOR4_MEMORIAL_DAY_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-05-27,2013-06-02,2.4,7,LINEAR
CDRY_2LTR_2FOR4_JULY4_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-07-01,2013-07-07,2.4,7,LINEAR
CDRY_2LTR_2FOR4_LABOR_DAY_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-09-02,2013-09-08,2.4,7,LINEAR
CDRY_2LTR_2FOR4_THANKSGIVING_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-11-25,2013-12-01,2.4,7,LINEAR
CDRY_2LTR_2FOR4_CHRISTMAS_2013,CANADA_DRY_2LTR_PROMO,2for4_Ad,2013-12-23,2013-12-29,2.4,7,LINEAR
CDRY_2LTR_199_CHRISTMAS_2013,CANADA_DRY_2LTR_PROMO,1.99_Ad,2013-12-23,2013-12-29,8.0,7,LINEAR
SCHWP_12PK_2FOR12_SUPER_BOWL_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-01-28,2013-02-03,3.1,7,LINEAR
SCHWP_12PK_2FOR12_MEMORIAL_DAY_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-05-27,2013-06-02,3.1,7,LINEAR
SCHWP_12PK_2FOR12_JULY4_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-07-01,2013-07-07,3.1,7,LINEAR
SCHWP_12PK_2FOR12_LABOR_DAY_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-09-02,2013-09-08,3.1,7,LINEAR
SCHWP_12PK_2FOR12_THANKSGIVING_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-11-25,2013-12-01,3.1,7,LINEAR
SCHWP_12PK_2FOR12_CHRISTMAS_2013,SCHWEPPES_12PACK_PROMO,2for12_Ad,2013-12-23,2013-12-29,3.1,7,LINEAR
SCHWP_2LTR_2FOR4_SUPER_BOWL_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-01-28,2013-02-03,2.3,7,LINEAR
SCHWP_2LTR_2FOR4_MEMORIAL_DAY_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-05-27,2013-06-02,2.3,7,LINEAR
SCHWP_2LTR_2FOR4_JULY4_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-07-01,2013-07-07,2.3,7,LINEAR
SCHWP_2LTR_2FOR4_LABOR_DAY_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-09-02,2013-09-08,2.3,7,LINEAR
SCHWP_2LTR_2FOR4_THANKSGIVING_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-11-25,2013-12-01,2.3,7,LINEAR
SCHWP_2LTR_2FOR4_CHRISTMAS_2013,SCHWEPPES_2LTR_PROMO,2for4_Ad,2013-12-23,2013-12-29,2.3,7,LINEAR
SCHWP_2LTR_199_THANKSGIVING_2013,SCHWEPPES_2LTR_PROMO,1.99_Ad,2013-11-25,2013-12-01,6.0,7,LINEAR
