receipt_id,store_id,item_id,receipt_date,received_qty,unfilled_qty,receipt_type,so_number
SR_000001,STR_W01,4900005010,2024-02-06,293.0,0.0,FULL,SO_20240205_STR_W01_0013
SR_000001,STR_E02,4900005010,2024-02-13,495.0,0.0,FULL,SO_20240212_STR_E02_0014
SR_000001,STR_W01,4900005010,2024-02-13,360.0,0.0,FULL,SO_20240212_STR_W01_0015
SR_000001,STR_E01,2840016014,2024-02-20,166.0,0.0,FULL,SO_20240219_STR_E01_0016
SR_000001,STR_E01,1200080994,2024-02-27,367.0,0.0,FULL,SO_20240226_STR_E01_0017
SR_000001,STR_E01,4900005010,2024-02-27,285.0,0.0,FULL,SO_20240226_STR_E01_0017
SR_000001,STR_E02,1200080994,2024-02-27,362.0,0.0,FULL,SO_20240226_STR_E02_0018
SR_000001,STR_E02,2840016014,2024-02-27,160.0,62.0,PARTIAL,SO_20240226_STR_E02_0018
SR_000001,STR_W01,1200080994,2024-02-27,390.0,0.0,FULL,SO_20240226_STR_W01_0019
SR_000001,STR_W01,2840016014,2024-02-27,196.0,0.0,FULL,SO_20240226_STR_W01_0019
SR_000001,STR_E02,2840016014,2024-02-29,62.0,0.0,FULL,SO_20240226_STR_E02_0018
SR_000001,STR_E01,2840016014,2024-03-12,176.0,0.0,FULL,SO_20240311_STR_E01_0020
SR_000001,STR_E02,4900005010,2024-03-12,160.0,0.0,FULL,SO_20240311_STR_E02_0021
SR_000001,STR_W01,4900005010,2024-03-12,174.0,0.0,FULL,SO_20240311_STR_W01_0022
SR_000001,STR_E01,4900005010,2024-03-19,166.0,0.0,FULL,SO_20240318_STR_E01_0023
SR_000001,STR_E02,2840016014,2024-03-19,163.0,0.0,FULL,SO_20240318_STR_E02_0024
SR_000001,STR_W01,2840016014,2024-03-19,186.0,0.0,FULL,SO_20240318_STR_W01_0025
SR_000001,STR_E01,1200080994,2024-03-26,402.0,0.0,FULL,SO_20240325_STR_E01_0026
SR_000001,STR_E01,2840016014,2024-03-26,176.0,0.0,FULL,SO_20240325_STR_E01_0026
SR_000001,STR_E01,4900005010,2024-03-26,178.0,0.0,FULL,SO_20240325_STR_E01_0026
SR_000001,STR_E02,1200080994,2024-03-26,401.0,0.0,FULL,SO_20240325_STR_E02_0027
SR_000001,STR_E02,4900005010,2024-03-26,277.0,0.0,FULL,SO_20240325_STR_E02_0027
SR_000001,STR_W01,1200080994,2024-03-26,404.0,0.0,FULL,SO_20240325_STR_W01_0028
SR_000001,STR_W01,4900005010,2024-03-26,253.0,0.0,FULL,SO_20240325_STR_W01_0028
